Strategy,Ticker,5Y,1Y
Commo Roll-yield,SGICLMFV,0.5370451,0.7333421971495934
Commo Trend,SGIXTFCY,-0.3293532,0.048283030173804975
Credit Short vol,SGIMCESP,-0.308817,-0.3777033687131688
Credit Trend,SGIXGCM,-0.3090037,-0.36475371724201167
Defensive,SGBVPHLE,0.013125,0.3612929384992754
Defensive,SGBVPHQE,0.1705903,0.5452781879645822
Defensive,SGSLQAE,-0.22688560000000002,-0.34620407420579297
Defensive,SGSLQAU,-0.1699097,-0.2037813431398829
Defensive,SGSLQAW,-0.1768096,-0.3587694109556843
Div Roll yield,SGBVDRY,0.323195,0.3149040612388768
EU MR,SGIXEUGR,0.09506260000000001,0.1651109187969738
EU MR,SGIXMTE,0.0859626,-0.2376601076535272
EU MR,SGIXTNE,0.1755753,-0.526895841719151
Eqy Short vol,SGIXVP3,0.17562350000000002,-0.03664742371905219
Eqy Trend,SGIXTFEQ,-0.13122589999999998,-0.4070213231937968
FX Carry,SGIFXH10,-0.09989210000000001,-0.3335265292448509
FX MR,SGIFXM10,0.0341679,-0.3489653407465959
FX Short vol,SGIFXG4,-0.7086976,-0.5702311313763152
FX Trend,SGIXTFFX,-0.23866450000000003,-0.8060459798961913
IR Trend,SGIXTFIR,0.3485816,0.2513637051958637
Momentum,SGBVPMEU,-0.349043,-0.048290195729987495
Momentum,SGSLMAE,0.34813330000000003,0.39265367410141855
Momentum,SGSLMAU,-0.1774919,-0.4276787764161665
Momentum,SGSLMAW,0.0011804,-0.3420532439258364
Profitability,SGBVPHPE,0.1358282,0.26022327414502755
Profitability,SGSLPAE,-0.31085329999999994,-0.6609708639165219
Profitability,SGSLPAU,-0.2137515,-0.17324869554595207
Profitability,SGSLPAW,-0.13678959999999998,-0.15367813958971197
Rates Carry,SGIXBE3E,-0.20452720000000002,-0.5184559549532537
Rates Carry,SGIXBHE5,-0.172627,-0.45488627634771583
Rates FRB,SGIXMOE2,-0.000157684,-0.5000695344888871
Rates FRB,SGIXMOGS,-0.39852719999999997,-0.3235294014315888
Rates FRB,SGIXMOUS,-0.626708,-0.6119790731474299
Rates Roll-yield,SGIXCCSE,-0.3453906,-0.06174266600269507
Rates Roll-yield,SGIXCCSU,-0.5587850999999999,-1.1568995121001788
Rates Short vol,SGIXIRSP,0.2607208,0.1907465954125647
US MR,SGIXUSGR,0.0933473,0.0997387522777567
US MR,SGIXVIGR,-0.39749870000000004,-0.7428363157414595
VIX Roll yield,DSVIX,0.3345415,0.5497900901107085
VIX Roll yield,SGIXVIDC,0.2011225,0.2640229455196267
Value,SGBVPHVE,0.22574410000000003,0.5996090629342496
Value,SGSLVAE,0.1507235,0.41312730521126
Value,SGSLVAU,0.1717714,-0.4108860980792959
Value,SGSLVAW,0.031459,-0.06179194546727261
Value/Defensive,SGSLVQAE,-0.2039749,-0.7919550708161043
Value/Defensive,SGSLVQAU,0.004480060000000001,-0.28400559637526723
Value/Defensive,SGSLVQAW,-0.1434506,-0.28094695248654367
XA7 Dual Mom,SGBVCADM,0.0820668,0.4788789030742203
XA7 Trend,SGIXTFXA,-0.10739130000000001,0.2811105580797879
